path_name,adj_p_val,cluster
Adrenergic Neurons,0.3910726870531523,C5
Enterochromaffin Cells,0.3950098031314271,C5
Crypt Cells,0.3950098031314271,C5
Cardiac Stem And Precursor Cells,0.3950098031314271,C5
Hepatoblasts,0.3950098031314271,C5
Radial Glia Cells,0.3950098031314271,C5
Natural Killer T Cells,0.403323956909015,C5
Thymocytes,0.403323956909015,C5
Luteal Cells,0.44524565826072177,C5
Gamma (PP) Cells,0.45647281771394166,C5
Bergmann Glia,0.47509603151025015,C5
Osteoclasts,0.5441936773529961,C5
Chondrocytes,0.5441936773529961,C5
Neuroblasts,0.5441936773529961,C5
Mesangial Cells,0.5465880749696237,C5
Osteoblasts,0.5620354734638614,C5
Pericytes,0.5620354734638614,C5
Fibroblasts,0.5620354734638614,C5
Sertoli Cells,0.5700945143392451,C5
Proximal Tubule Cells,0.59483228310863,C5
T Cells,0.59483228310863,C5
Cardiomyocytes,0.6441439704962757,C5
Monocytes,0.6451733766159146,C5
Cholinergic Neurons,0.6492517639067423,C5
T Cells Naive,0.6492517639067423,C5
Noradrenergic Neurons,0.6492517639067423,C5
Podocytes,0.6492517639067423,C5
Epiblast Cells,0.6606848026844987,C5
T Follicular Helper Cells,0.6606848026844987,C5
Pancreatic Stellate Cells,0.6606848026844987,C5
Parietal Cells,0.6606848026844987,C5
Clara Cells,0.6655549216149332,C5
Adipocyte Progenitor Cells,0.670233473495656,C5
T Regulatory Cells,0.6747249260866619,C5
Tanycytes,0.6938384142561776,C5
Glomus Cells,0.7265811829554736,C5
T Memory Cells,0.7533595257495087,C5
Mammary Epithelial Cells,0.7533595257495087,C5
Immature Neurons,0.7557764146925344,C5
Schwann Cells,0.7580532769328028,C5
Megakaryocytes,0.7603546659116348,C5
Leydig Cells,0.7603546659116348,C5
B Cells Memory,0.7603546659116348,C5
Loop Of Henle Cells,0.7603546659116348,C5
T Helper Cells,0.7603546659116348,C5
B Cells Naive,0.7603546659116348,C5
Endothelial Cells,0.7603546659116348,C5
Neural Stem/Precursor Cells,0.7603546659116348,C5
Astrocytes,0.7617447185732562,C5
NK Cells,0.768453441823961,C5
B Cells,0.7999915123123015,C5
Endothelial Cells (Aorta),0.7999915123123015,C5
Dendritic Cells,0.7999915123123015,C5
His Bundle Cells,0.7999915123123015,C5
Osteocytes,0.7999915123123015,C5
Airway Smooth Muscle Cells,0.7999915123123015,C5
Platelets,0.7999915123123015,C5
Glycinergic Neurons,0.7999915123123015,C5
Myofibroblasts,0.7999915123123015,C5
T Cytotoxic Cells,0.7999915123123015,C5
Trophoblast Progenitor Cells,0.7999915123123015,C5
Vascular Smooth Muscle Cells,0.7999915123123015,C5
Kidney Progenitor Cells,0.7999915123123015,C5
Germ Cells,0.7999915123123015,C5
Decidual Cells,0.7999915123123015,C5
Urothelial Cells,0.7999915123123015,C5
Pinealocytes,0.7999915123123015,C5
Olfactory Epithelial Cells,0.7999915123123015,C5
Spermatozoa,0.7999915123123015,C5
Undefined Placental Cells,0.7999915123123015,C5
Gastric Chief Cells,0.7999915123123015,C5
Nuocytes,0.7999915123123015,C5
Enteric Glia Cells,0.7999915123123015,C5
Merkel Cells,0.7999915123123015,C5
Pluripotent Stem Cells,0.7999915123123015,C5
Retinal Progenitor Cells,0.7999915123123015,C5
Pancreatic Progenitor Cells,0.7999915123123015,C5
Satellite Glial Cells,0.7999915123123015,C5
Mast Cells,0.7999915123123015,C5
Meningeal Cells,0.7999915123123015,C5
Airway Goblet Cells,0.7999915123123015,C5
Dopaminergic Neurons,0.7999915123123015,C5
Peritubular Myoid Cells,0.7999915123123015,C5
Transient Cells,0.7999915123123015,C5
Alveolar Macrophages,0.7999915123123015,C5
Stromal Cells,0.7999915123123015,C5
Oligodendrocyte Progenitor Cells,0.7999915123123015,C5
Eosinophils,0.7999915123123015,C5
Trophoblast Cells,0.7999915123123015,C5
Hepatic Stellate Cells,0.7999915123123015,C5
Melanocytes,0.7999915123123015,C5
Luminal Epithelial Cells,0.810411762198163,C5
Mesothelial Cells,0.810411762198163,C5
Gamma Delta T Cells,0.810411762198163,C5
M?ller Cells,0.810411762198163,C5
Plasmacytoid Dendritic Cells,0.8109917247927365,C5
Microglia,0.8222378362538453,C5
Plasma Cells,0.8311435891244633,C5
Basophils,0.8311435891244633,C5
Embryonic Stem Cells,0.8372406503218816,C5
Enterocytes,0.8713466499544589,C5
Interneurons,6.33634131998439e-11,C6
Anterior Pituitary Gland Cells,6.12725143259647e-07,C6
Cajal-Retzius Cells,8.129316479403845e-06,C6
Photoreceptor Cells,8.358360212514775e-05,C6
Stromal Cells,0.00011258939317878756,C6
Pyramidal Cells,0.00013827258066037096,C6
Immature Neurons,0.00017113253757132757,C6
Beta Cells,0.0002510236968017441,C6
GABAergic Neurons,0.00025790138251125406,C6
Osteoblasts,0.0003245069186412944,C6
Gamma (PP) Cells,0.0004878584348238344,C6
Enteric Neurons,0.0004878584348238344,C6
Vascular Smooth Muscle Cells,0.0007808342032657288,C6
Chondrocytes,0.001031149411201253,C6
Taste Receptor Cells,0.0013530667936117687,C6
Tanycytes,0.0017383571265341547,C6
Delta Cells,0.0026594635726706044,C6
Pulmonary Vascular Smooth Muscle Cells,0.0034172461787257066,C6
Neurons,0.004423035743101433,C6
M?ller Cells,0.004423035743101433,C6
Glutaminergic Neurons,0.004423035743101433,C6
Epiblast Cells,0.004653557717738498,C6
Purkinje Neurons,0.005357197234886226,C6
Melanocytes,0.011861135508315824,C6
Alpha Cells,0.0127006176305221,C6
Distal Tubule Cells,0.0127006176305221,C6
Trigeminal Neurons,0.015194612337088695,C6
Myofibroblasts,0.015194612337088695,C6
Pancreatic Stellate Cells,0.022111913220773154,C6
Parietal Cells,0.022111913220773154,C6
Peri-islet Schwann Cells,0.02318352030359606,C6
Radial Glia Cells,0.02318352030359606,C6
Meningeal Cells,0.02331634419791541,C6
Smooth Muscle Cells,0.026923713246571078,C6
Cardiomyocytes,0.02999127513084245,C6
Oligodendrocyte Progenitor Cells,0.03016325788918421,C6
Oligodendrocytes,0.03153777214963225,C6
Hepatic Stellate Cells,0.035650706715861874,C6
Oxyphil Cells,0.048294706259615156,C6
Neuroblasts,0.0491797749013282,C6
Loop Of Henle Cells,0.0491797749013282,C6
Mesangial Cells,0.0491797749013282,C6
His Bundle Cells,0.0491797749013282,C6
Osteocytes,0.0491797749013282,C6
Airway Smooth Muscle Cells,0.04973039221417311,C6
Purkinje Fiber Cells,0.0529326312071741,C6
Astrocytes,0.0529326312071741,C6
Juxtaglomerular Cells,0.05311217426093812,C6
Pinealocytes,0.05890585398030883,C6
Enterochromaffin Cells,0.060811578750071614,C6
Crypt Cells,0.060811578750071614,C6
Retinal Ganglion Cells,0.060811578750071614,C6
Motor Neurons,0.06130804724077914,C6
Retinal Progenitor Cells,0.06141134875946747,C6
Olfactory Epithelial Cells,0.06141134875946747,C6
Cardiac Stem And Precursor Cells,0.06144003847301307,C6
Myoepithelial Cells,0.06383465915400167,C6
Fibroblasts,0.06505498196557603,C6
Dopaminergic Neurons,0.06871912706226695,C6
Hematopoietic Stem Cells,0.07146930148377499,C6
Chromaffin Cells,0.07186739602759244,C6
Glomus Cells,0.08010879833772137,C6
Enteroendocrine Cells,0.10377544420979075,C6
Leydig Cells,0.1158468463132735,C6
Neural Stem/Precursor Cells,0.13095407732692038,C6
Pericytes,0.13646992017371123,C6
Myocytes,0.1551851717654238,C6
Mast Cells,0.16382591630307894,C6
Kidney Progenitor Cells,0.16382591630307894,C6
Basophils,0.16436830969287983,C6
Enteric Glia Cells,0.18061444291850906,C6
Pancreatic Progenitor Cells,0.18647459620956724,C6
Satellite Glial Cells,0.18647459620956724,C6
Peritubular Myoid Cells,0.20602195129571357,C6
Neuroendocrine Cells,0.21450895825959337,C6
Microfold Cells,0.22298869747234237,C6
Bergmann Glia,0.23989069835626042,C6
Ductal Cells,0.23989069835626042,C6
Cholangiocytes,0.24446268056513482,C6
Pulmonary Alveolar Type II Cells,0.24519252400114475,C6
Principal Cells,0.24592293463470685,C6
Schwann Cells,0.25040097900377867,C6
Mesothelial Cells,0.26673379192491103,C6
Osteoclasts,0.26673379192491103,C6
Erythroid-like And Erythroid Precursor Cells,0.2976320022811509,C6
Endothelial Cells,0.3461949702669878,C6
Embryonic Stem Cells,0.37968824003143475,C6
Podocytes,0.39426302503983995,C6
Endothelial Cells (Aorta),0.39426302503983995,C6
Salivary Mucous Cells,0.39426302503983995,C6
Adrenergic Neurons,0.39426302503983995,C6
Parathyroid Chief Cells,0.39426302503983995,C6
Urothelial Cells,0.39426302503983995,C6
Ionocytes,0.39510720052918336,C6
Hepatoblasts,0.4257367943988381,C6
Transient Cells,0.45058764348408675,C6
Adipocytes,0.4603656462386275,C6
Erythroblasts,0.4603656462386275,C6
Myoblasts,0.46505396109752645,C6
Epithelial Cells,0.47668350217740807,C6
Mammary Epithelial Cells,0.49206483570660975,C6
Luminal Epithelial Cells,0.5130091904651878,C6
Basal Cells,0.5130091904651878,C6
Plasmacytoid Dendritic Cells,0.5460123915119087,C6
NK Cells,0.5692748134596259,C6
Airway Epithelial Cells,0.7798129201360746,C6
Spermatozoa,0.781032793582934,C6
Merkel Cells,0.781032793582934,C6
Clara Cells,0.781032793582934,C6
Adipocyte Progenitor Cells,0.781032793582934,C6
Choroid Plexus Cells,0.781032793582934,C6
Airway Goblet Cells,0.781032793582934,C6
Intercalated Cells,0.781032793582934,C6
Natural Killer T Cells,0.781032793582934,C6
Sebocytes,0.789975558632413,C6
Luteal Cells,0.789975558632413,C6
Keratinocytes,0.789975558632413,C6
Trophoblast Cells,0.79229170410991,C6
Ependymal Cells,0.794824314601926,C6
Tuft Cells,0.794824314601926,C6
Epsilon Cells,0.794824314601926,C6
B Cells Naive,0.8138077265846976,C6
Neutrophils,0.8138077265846976,C6
Sertoli Cells,0.8226458947333756,C6
Monocytes,0.8507395457301482,C6
B Cells,0.8541345518414374,C6
Dendritic Cells,0.8726463575954879,C6
Macrophages,0.8726463575954879,C6
Oligodendrocyte Progenitor Cells,2.941566649233072e-19,C7
Melanocytes,2.6924530402014595e-16,C7
Endothelial Cells (Aorta),2.4469628926379293e-10,C7
Meningeal Cells,4.6643228900433e-09,C7
Chondrocytes,6.627557233202756e-09,C7
Loop Of Henle Cells,5.655302341782897e-08,C7
M?ller Cells,5.655302341782897e-08,C7
Oligodendrocytes,5.655302341782897e-08,C7
Satellite Cells,2.4202084121390046e-07,C7
Radial Glia Cells,2.7473315533249064e-07,C7
Podocytes,5.484044382269034e-07,C7
Myoblasts,6.5132035323962e-07,C7
Mesothelial Cells,2.3663683213927773e-06,C7
Mesangial Cells,2.9001573128993914e-06,C7
Peritubular Myoid Cells,3.2828044140595327e-06,C7
Neural Stem/Precursor Cells,3.320551677567159e-06,C7
Glomus Cells,4.675511280969168e-06,C7
His Bundle Cells,4.675511280969168e-06,C7
Myofibroblasts,5.262979268944559e-06,C7
Schwann Cells,8.975788261729412e-06,C7
Osteocytes,4.140118990718896e-05,C7
Pulmonary Vascular Smooth Muscle Cells,4.140118990718896e-05,C7
Pulmonary Alveolar Type I Cells,4.140118990718896e-05,C7
Bergmann Glia,4.2215429951571004e-05,C7
Vascular Smooth Muscle Cells,5.0640830898173754e-05,C7
Cardiac Stem And Precursor Cells,9.268330933998191e-05,C7
Endothelial Cells (Blood Brain Barrier),9.268330933998191e-05,C7
Adipocyte Progenitor Cells,0.00010156194228440382,C7
Osteoblasts,0.00012064104195177432,C7
Pericytes,0.00012275209265347976,C7
Tanycytes,0.00013260007017594106,C7
Stromal Cells,0.00015321640057060272,C7
Myocytes,0.00016584729560730282,C7
Smooth Muscle Cells,0.00021342615545905317,C7
Hepatic Stellate Cells,0.00021891170632838637,C7
Basal Cells,0.00033893188209296264,C7
Leydig Cells,0.0004009848421873495,C7
Pancreatic Stellate Cells,0.0004616078264344356,C7
Peri-islet Schwann Cells,0.0005180698209559013,C7
Satellite Glial Cells,0.0005180698209559013,C7
Astrocytes,0.0005491472768898298,C7
Endothelial Cells,0.0006243612268895896,C7
Sertoli Cells,0.0006243612268895896,C7
Airway Smooth Muscle Cells,0.001507180310361267,C7
Fibroblasts,0.0017300836934101996,C7
Mast Cells,0.0018557507324708667,C7
Kidney Progenitor Cells,0.0019288121556194416,C7
Enterochromaffin Cells,0.002299511919116875,C7
Enteric Glia Cells,0.0024776013557803924,C7
Retinal Progenitor Cells,0.0025444818444368337,C7
Pancreatic Progenitor Cells,0.0027354963814185244,C7
Adipocytes,0.0033891834590464086,C7
Luteal Cells,0.004229903485307749,C7
Embryonic Stem Cells,0.005109886030929689,C7
Juxtaglomerular Cells,0.009467392340675743,C7
Granulosa Cells,0.013261731187791734,C7
Gamma (PP) Cells,0.022623507527357093,C7
Alpha Cells,0.027906903219873436,C7
Immature Neurons,0.027906903219873436,C7
Neuroblasts,0.03633710778818598,C7
Cholinergic Neurons,0.0436399422726956,C7
Crypt Cells,0.054882444902565226,C7
Myoepithelial Cells,0.0622672902908454,C7
Transient Cells,0.07012151645912638,C7
Delta Cells,0.09061933466805888,C7
Pulmonary Alveolar Type II Cells,0.09780145866997068,C7
Oxyphil Cells,0.14056783877514445,C7
Glycinergic Neurons,0.16013812952255704,C7
Purkinje Fiber Cells,0.16523002692797348,C7
Spermatozoa,0.18565074764770556,C7
Cardiomyocytes,0.18937079706781493,C7
Parietal Cells,0.1920204331288576,C7
Taste Receptor Cells,0.204988606931566,C7
Intercalated Cells,0.21407194635940027,C7
Dopaminergic Neurons,0.21517287789130354,C7
Chromaffin Cells,0.22421400683923198,C7
Sebocytes,0.22924445817519623,C7
Microfold Cells,0.2342453384505135,C7
Pyramidal Cells,0.24724188003712322,C7
Anterior Pituitary Gland Cells,0.25620608001893797,C7
Distal Tubule Cells,0.26920638353530973,C7
Enteroendocrine Cells,0.2740224850217769,C7
Epithelial Cells,0.2875723694190447,C7
Osteoclasts,0.2875723694190447,C7
Interneurons,0.31028471042525974,C7
Airway Epithelial Cells,0.43675586114801496,C7
Trichocytes,0.43675586114801496,C7
Adrenergic Neurons,0.4449071705958826,C7
Glutaminergic Neurons,0.4449071705958826,C7
Pinealocytes,0.4449071705958826,C7
Undefined Placental Cells,0.4456258130683726,C7
Epiblast Cells,0.44632494467394035,C7
Motor Neurons,0.45247892193777084,C7
Clara Cells,0.4536551684335634,C7
GABAergic Neurons,0.4536551684335634,C7
Choroid Plexus Cells,0.46637255049398896,C7
Neurons,0.46637255049398896,C7
Neuroendocrine Cells,0.49123153467147773,C7
Platelets,0.5013410162392767,C7
Keratinocytes,0.5013410162392767,C7
Trophoblast Cells,0.5110721073815775,C7
Ductal Cells,0.5157071708957459,C7
Mammary Epithelial Cells,0.5202062864137385,C7
Epsilon Cells,0.5338892975557802,C7
Luminal Epithelial Cells,0.5379832090994197,C7
Beta Cells,0.5554083156083054,C7
Photoreceptor Cells,0.5678038308814246,C7
Microglia,0.6009025188495076,C7
Retinal Ganglion Cells,0.6184240022104318,C7
T Cells,0.6184240022104318,C7
Cajal-Retzius Cells,0.6479640193194707,C7
Hematopoietic Stem Cells,0.6572257001822616,C7
B Cells,0.6660629943047803,C7
Enterocytes,0.7321580326271808,C7
Trophoblast Stem Cells,0.7516742016682408,C7
Trophoblast Progenitor Cells,0.7516742016682408,C7
Hepatocytes,0.7516742016682408,C7
Salivary Mucous Cells,0.7516742016682408,C7
Olfactory Epithelial Cells,0.7516742016682408,C7
Gastric Chief Cells,0.7516742016682408,C7
Follicular Cells,0.7516742016682408,C7
Red Pulp Macrophages,0.7516742016682408,C7
T Follicular Helper Cells,0.7516742016682408,C7
Airway Goblet Cells,0.76795049429042,C7
Thymocytes,0.76795049429042,C7
Acinar Cells,0.7814803375240575,C7
Cholangiocytes,0.8045763487923919,C7
Ependymal Cells,0.8045763487923919,C7
Megakaryocytes,0.8169037541547618,C7
B Cells Memory,0.8205778742446725,C7
Plasmacytoid Dendritic Cells,0.821468423527581,C7
Purkinje Neurons,0.8247011026405588,C7
NK Cells,0.8247011026405588,C7
Proximal Tubule Cells,0.8247011026405588,C7
Enteric Neurons,0.8247011026405588,C7
Plasma Cells,0.8247011026405588,C7
Monocytes,0.8368645736681716,C7
Dendritic Cells,0.8660145054493834,C7
Interneurons,6.697474349203517e-16,C8
Glutaminergic Neurons,0.0007840434213899218,C8
Gamma (PP) Cells,0.0019176922974516737,C8
Distal Tubule Cells,0.00232922815240118,C8
Pyramidal Cells,0.008698389079013748,C8
Immature Neurons,0.009523982851629266,C8
Neurons,0.011348491427454973,C8
Photoreceptor Cells,0.011348491427454973,C8
Epiblast Cells,0.011348491427454973,C8
Parietal Cells,0.011348491427454973,C8
Taste Receptor Cells,0.012405866678023843,C8
Delta Cells,0.022151340677267838,C8
Loop Of Henle Cells,0.03627632768883683,C8
Neural Stem/Precursor Cells,0.03966054677273479,C8
GABAergic Neurons,0.04672928311193581,C8
Pancreatic Progenitor Cells,0.04672928311193581,C8
Smooth Muscle Cells,0.05426810951261983,C8
Neuroendocrine Cells,0.05690995231820663,C8
Oligodendrocyte Progenitor Cells,0.057597931594313936,C8
Oligodendrocytes,0.05880069783991982,C8
Alpha Cells,0.07329173236937775,C8
Oxyphil Cells,0.08266084087085399,C8
Trigeminal Neurons,0.08266084087085399,C8
Leydig Cells,0.08266084087085399,C8
His Bundle Cells,0.08723262573123089,C8
Astrocytes,0.09180350200651496,C8
Juxtaglomerular Cells,0.09180350200651496,C8
Pericytes,0.09180350200651496,C8
Ionocytes,0.09906739151465398,C8
Crypt Cells,0.09906739151465398,C8
Retinal Ganglion Cells,0.09906739151465398,C8
Enteric Glia Cells,0.09906739151465398,C8
Cardiac Stem And Precursor Cells,0.09906739151465398,C8
Endothelial Cells (Blood Brain Barrier),0.09906739151465398,C8
Peri-islet Schwann Cells,0.09906739151465398,C8
Satellite Glial Cells,0.09906739151465398,C8
Meningeal Cells,0.09910816063331385,C8
Fibroblasts,0.10007018401859374,C8
Mast Cells,0.10289844306379874,C8
Embryonic Stem Cells,0.10365190774631457,C8
Bergmann Glia,0.13745145597892794,C8
Mesothelial Cells,0.17430288396350557,C8
Neuroblasts,0.1773301050898915,C8
Purkinje Neurons,0.20630413713760254,C8
Glycinergic Neurons,0.22620477812751538,C8
Myocytes,0.22779644014411649,C8
Vascular Smooth Muscle Cells,0.22979572103145104,C8
Enteric Neurons,0.22979572103145104,C8
Kidney Progenitor Cells,0.23249593128407295,C8
Adrenergic Neurons,0.23283866136856915,C8
Gastric Chief Cells,0.24322386299683046,C8
Motor Neurons,0.24419909699285303,C8
Endothelial Cells,0.24419909699285303,C8
Granulosa Cells,0.24419909699285303,C8
Radial Glia Cells,0.24943626029907595,C8
Choroid Plexus Cells,0.2556862679437929,C8
Podocytes,0.2556862679437929,C8
Endothelial Cells (Aorta),0.2556862679437929,C8
Dopaminergic Neurons,0.2556862679437929,C8
Peritubular Myoid Cells,0.25607884727459396,C8
Chromaffin Cells,0.2611302118141875,C8
Luteal Cells,0.2707933271456648,C8
Glomus Cells,0.27574053024451184,C8
Adipocytes,0.3216633789717029,C8
Beta Cells,0.35230580946952994,C8
Cajal-Retzius Cells,0.48654686359299637,C8
Cardiomyocytes,0.48654686359299637,C8
Myofibroblasts,0.5012547670090046,C8
Airway Epithelial Cells,0.5147774658332464,C8
Parathyroid Chief Cells,0.5264896758866371,C8
Pinealocytes,0.5264896758866371,C8
Spermatozoa,0.5264896758866371,C8
Follicular Cells,0.532332309521818,C8
Hepatoblasts,0.550823945878142,C8
Intercalated Cells,0.5687017035159362,C8
Tanycytes,0.5797904805768221,C8
Stromal Cells,0.5904974127180124,C8
Platelets,0.5979185797343411,C8
Pulmonary Alveolar Type I Cells,0.612712999245649,C8
Hepatic Stellate Cells,0.612712999245649,C8
T Memory Cells,0.612712999245649,C8
Epsilon Cells,0.6232667088847387,C8
Enteroendocrine Cells,0.6232667088847387,C8
Satellite Cells,0.6232667088847387,C8
Chondrocytes,0.6477596770628218,C8
M?ller Cells,0.6477596770628218,C8
Mesangial Cells,0.6477596770628218,C8
Plasmacytoid Dendritic Cells,0.6503286793788856,C8
Sertoli Cells,0.681629530419422,C8
T Cells,0.706556891414334,C8
Enterocytes,0.7940296709840367,C8
Airway Smooth Muscle Cells,0.7940296709840367,C8
Pulmonary Vascular Smooth Muscle Cells,0.7940296709840367,C8
Trophoblast Stem Cells,0.7940296709840367,C8
Purkinje Fiber Cells,0.7940296709840367,C8
T Cells Naive,0.7940296709840367,C8
T Cytotoxic Cells,0.7940296709840367,C8
Trichocytes,0.7940296709840367,C8
Trophoblast Progenitor Cells,0.7940296709840367,C8
Serotonergic Neurons,0.7940296709840367,C8
Salivary Mucous Cells,0.7940296709840367,C8
Decidual Cells,0.7940296709840367,C8
Urothelial Cells,0.7940296709840367,C8
Olfactory Epithelial Cells,0.7940296709840367,C8
Enterochromaffin Cells,0.7940296709840367,C8
Nuocytes,0.7940296709840367,C8
T Follicular Helper Cells,0.7940296709840367,C8
Merkel Cells,0.7940296709840367,C8
Pancreatic Stellate Cells,0.7940296709840367,C8
Adipocyte Progenitor Cells,0.7940296709840367,C8
T Regulatory Cells,0.7940296709840367,C8
Natural Killer T Cells,0.7940296709840367,C8
Thymocytes,0.7940296709840367,C8
Transient Cells,0.7940296709840367,C8
Sebocytes,0.7944680280879522,C8
Paneth Cells,0.7944680280879522,C8
Melanocytes,0.7944680280879522,C8
Mammary Epithelial Cells,0.7944680280879522,C8
Pulmonary Alveolar Type II Cells,0.7944680280879522,C8
Ependymal Cells,0.7944680280879522,C8
Principal Cells,0.7944680280879522,C8
Schwann Cells,0.7944680280879522,C8
Gamma Delta T Cells,0.8065567421965916,C8
T Helper Cells,0.8065567421965916,C8
Osteoblasts,0.8137750017079435,C8
NK Cells,0.8137961963873427,C8
Proximal Tubule Cells,0.8216537958640494,C8
Hematopoietic Stem Cells,0.8407143699610546,C8
Hepatocytes,0.8928451496713368,C8
